observed	modeled
375.8	321.4
24.608	6.2074e-011
56.134	29.05
215.73	129.47
334.86	263.34
158.1	73.089
15.769	1.774
254.53	225.49
232.87	177.47
416.87	359.7
46.975	10.814
14.082	23.797
413.78	366.8
353.9	341.52
196.53	227.73
248.09	208.71
302.21	261.59
167.89	128.7
14.84	5.8824
304.5	256.22
3.5247	1.5112e-010
120.78	96.111
52.054	47.175
347.46	332.51
762.37	600.23
770	690.66
34.686	-4.7352e-010
36.283	2.4041
349.95	350.87
402.26	477.68
802.12	883.51
615.68	587.84
523.12	472.94
22.304	4.4668e-011
5.1327	3.0487e-011
141.51	114.48
237.72	162.46
188.99	82.488
1.8891	-2.5056e-011
4.525	1.8719e-010
25.032	9.232
-6.349e-011	-6.2757e-011
1.4904	-8.4922e-011
85.067	51.38
37.43	1.8527
32.536	-5.8601e-011
33.315	11.734
14.074	0.79385
-1.0102e-010	-9.3644e-011
-7.6984e-011	-8.6021e-011
37.798	28.385
26.872	-6.5168e-011
8.7435	-8.3669e-011
-9.5601e-011	0.71189
30.543	17.11
31.356	31.024
24.531	7.6322
19.334	3.6358
-9.8189e-011	-8.8946e-011
8.6868	5.8711
33.113	16.706
17.17	6.9611
5.0063	4.931
30.834	18.182
19.002	4.0702
-6.5124e-011	-9.8863e-011
40.541	44.201
38.212	40.327
4.7577	-8.6806e-011
-9.8189e-011	-1.1277e-010
42.331	5.5657
4.4673	-6.5212e-011
25.036	22.16
83.502	49.186
3.2087	-6.2442e-011
-7.9806e-011	-8.2679e-011
-6.2522e-011	-5.8491e-011
17.676	-7.8831e-011
6.5781	0.8828
22.89	9.5209
37.249	5.7939
47.77	5.8437
6.6532	-8.8118e-011
5.2306	-4.8156e-011
19.794	3.3926
42.034	27.38
5.192	-8.1059e-011
12.438	-1.1532e-010
16.334	23.147
47.891	35.827
59.701	21.825
56.515	13.647
7.1585	-8.542e-011
4.0239	-8.0788e-011
27.745	26.482
42.972	36.064
21.56	10.967
1.823	-7.7138e-011
0.1277	-6.6737e-011
58.064	29.553
41.202	19.095
53.269	19.027
12.66	3.8394
39.403	20.484
18.178	-8.2547e-011
14.388	-6.4802e-011
1.7887	-8.0883e-011
64.923	68.07
17.685	11.766
1.9314	-8.4651e-011
27.017	15.756
30.204	-8.0722e-011
24.939	17.669
34.479	14.325
2.1503	4.1585
30.099	26.464
32.951	35.81
45.555	53.992
4.9136	0.57733
38.797	56.549
31.013	44.377
19.947	32.253
9.2078	14.494
9.8977	8.5556
25.715	16.688
13.136	14.754
19.829	12.524
20.145	16.719
3.0297	2.5832e-011
5.1477	10.842
22.756	20.372
6.3115	15.521
37.381	54.997
23.982	51.956
22.085	48.767
4.9451	2.0259
11.747	12.276
35.321	40.956
72.492	66.591
82.715	30.061
0.95877	-9.69e-013
0.12988	-1.6103e-012
307.74	215.48
346.43	253.79
300.16	224.51
54.507	0.043906
338.34	205.45
98.986	0.37268
11.725	1.1927e-010
374.81	281.51
120.11	56.184
2.1868e-010	8.3998e-011
370.76	289.83
244.48	135.49
446.3	335.62
346.8	253.14
334.37	265.23
378.02	247.16
115.95	91.783
409.47	350.96
379.65	372.99
259.38	190.97
128.72	55.965
5.1559	1.8727e-010
141	132.09
212.55	216.2
410.98	366.74
512.43	474.42
381.75	329.84
302.62	194.1
382.29	238.07
295.13	167.59
134.65	58.24
53.097	0.38648
24.022	13.148
77.041	61.983
87.045	117.66
183.1	156.57
168.88	163.09
303.53	250.79
329.03	256.38
348.34	271.1
408.82	273.5
406.98	292.7
345.83	233.77
256.78	151.76
34.173	1.6216e-010
6.4763	2.9506e-010
0.52652	1.4878e-010
160.99	118.86
326.53	233.09
194.86	92.457
205.42	66.049
78.451	2.6123e-010
61.23	1.4791e-010
145.11	129.35
302.57	271.53
498.44	416.36
390.17	262.48
281.89	167.28
266.16	126.26
105.22	24.664
8.7636	5.332e-011
6.3269	1.5518e-010
25.983	21.66
44.474	27.113
253.26	211.75
248.65	205.77
356.52	264.18
459.06	374.17
376.15	278.88
201.08	130.44
74.754	13.753
42.814	63.345
158.65	153.13
358.2	290.3
420.46	309.3
406.77	285.77
408.49	317.04
286.78	226.05
326.66	211.88
153.48	76.195
112.26	39.313
47.091	4.2458
15.117	30.461
216.96	162.45
292.55	210.69
326.65	258.63
385.85	262.71
366.18	241.2
317.74	182.59
276.09	158.89
171.54	75.593
49.464	2.9216e-011
15.095	4.8972
58.114	25.241
146.38	70.454
349.07	274.32
289.82	151.05
255.39	0.004363
251.55	123.98
255.68	123.76
270.28	105.91
245.15	103.64
15.253	3.8971
52.12	28.578
56.398	37.165
422.36	333.29
399.61	301.22
461.72	371.96
332.5	252.58
146.92	52.665
38.329	2.904e-010
330.61	246.89
253.76	230.89
496.64	400.37
413.75	319.85
295.7	173.52
176.07	81.251
3.0649	4.3057
4.9135	4.0433e-012
0.16615	2.7604e-012
0.96574	5.2563e-012
2.1004	5.3185e-012
1.27	5.9214
1.3377	3.7634e-012
8.2053	8.4416
0.24678	5.925e-012
84.583	145.38
99.478	141.55
260.05	222.89
180.02	123.54
198.69	107.75
177.33	147.15
332.03	243.77
234.32	255.35
240.21	252.27
332.43	286.61
302.3	259.38
298.33	216.69
302.85	247.42
312.88	258.46
354.2	299.81
236.87	187.31
244.68	207.76
366.84	278.91
401.96	358.57
367.86	317.73
275.99	143.1
22.075	23.422
15.674	10.81
26.543	22.66
12.509	-3.744e-011
14.963	3.7299
14.669	5.7425
6.6078	1.4051
13.105	-2.5408e-011
16.033	0.96656
8.3783	6.9503
2.8265	-1.8929e-011
5.7978	-1.5002e-011
13.791	7.6666
5.3268	-1.3239e-011
12.471	13.103
16.838	23.915
27.964	21.713
20.619	12.381
17.71	-2.1047e-011
2.4507	0.47401
3.7764	-2.2681e-011
13.739	11.98
12.046	-1.9909e-011
-3.0771e-011	-2.4053e-011
7.1666	-1.6178e-011
-2.7862e-011	-1.6621e-011
2.5774	-2.1189e-011
0.31159	-2.5111e-011
7.2176	4.9953
10.62	13.781
4.856	2.8815
4.5764	1.4529
17.039	9.2394
5.5745	4.9003
10.081	4.3743
8.8516	5.4182
6.5019	2.4179
1.3257	1.4877
1.7394	-2.1782e-011
2.1724	-2.6235e-011
-2.3457e-011	-3.6528e-011
0.84391	-2.1158e-011
2.3527	1.2886
12.288	11.875
11.087	17.067
21.285	10.646
8.3626	-2.5369e-011
16.593	10.459
2.2141	0.70163
-1.5343e-011	-2.1524e-011
1.4373	-2.9292e-011
21.863	17.577
8.3011	11.064
20.619	15.029
25.611	13.14
22.352	7.962
15.29	7.5219
6.727	-3.4552e-011
6.8236	19.277
2.2141	3.1333
-2.6865e-011	-2.6977e-011
1.6363	-2.697e-011
4.1577	-3.1392e-011
1.2614	2.3669
8.2441	11.47
2.6177	2.2963
7.7379	5.3057
10.932	10.823
3.3072	-2.1963e-011
2.8944	2.6658
2.2278	6.1686
7.1316	1.8662
7.1038	-2.6623e-011
7.409	10.022
11.513	9.4611
4.1869	6.7245
1.5691	-1.8996e-011
1.8538	-2.4397e-011
5.3224	9.814
2.4607	-2.7575e-011
2.7808	-2.3158e-011
0.3031	0.13645
1.1246	0.37607
5.2038	4.1486
13.226	10.5
16.66	16.929
9.0388	6.6502
14.934	14.194
5.7035	7.7462
12.653	5.2615
7.8672	-2.5052e-011
9.2556	2.7013
3.1114	0.90126
3.4107	6.1282
2.347	-2.5113e-011
2.7742	2.9021
5.862	0.73937
28.561	35.589
15.605	8.7253
11.956	9.0697
12.302	6.3427
2.4649	-2.6063e-011
10.143	-2.1773e-011
11.347	3.1646
1.5946	-2.5422e-011
3.8357	-3.3135e-011
2.926	-3.5821e-011
3.6848	-3.2305e-011
